CUERPO,PROVINCIA,LOCALIDAD,CENTRO,PUESTO,PLA,Nombre,Apellido1,Apellido2,sexo,edad
MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597034-EDUCACIÓN FÍSICA,1,Cristian,Tapia,León,Hombre,35
MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597035-MÚSICA,1,Manuel,Portillo,Murillo,Hombre,49
MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597036-PEDAGOGÍA TERAPÉUTICA,1,Alba,Roca,Salinas,Mujer,33
,,,FILA_VACIA_CON_COMAS,,,
MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597038-EDUCACIÓN PRIMARIA,1,Álvaro,Marín,Cortés,Hombre,32
MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,11597038-EDUCACIÓN PRIMARIA - BILINGÜE INGLÉS,1,Julián,Flores,Huertas,Hombre,57
MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,11597038-EDUCACIÓN PRIMARIA - BILINGÜE INGLÉS,1,María,Rueda,Salazar,Mujer,41
MAESTROS,ALMERÍA,ADRA,null,00597APO-APOYO COMPENSACION,1,Óscar,NULL,Crespo,Hombre,49
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597031-EDUCACIÓN INFANTIL,1,Carmen,Jara,Alonso,Mujer,31
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597031-EDUCACIÓN INFANTIL,1,Paula,Rosales,Cuenca,Mujer,39
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597031-EDUCACIÓN INFANTIL,1,Francisco,Carrasco,Delgado,Hombre,setenta y dos
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597032-LENGUA EXTRANJERA-INGLÉS,1,Patricia,Cortés,Toledo,Mujer,46
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597032-LENGUA EXTRANJERA-INGLÉS,1,Noelia,Rueda,Baena,Mujer,41
NULL,NULL,NULL,NULL. NULLNULLS,NULL,NULL,NULL,NULL,NULL
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597034-EDUCACIÓN FÍSICA,1,Lucía,Torres,Corral,Mujer,46
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597034-EDUCACIÓN FÍSICA,1,Laura,Nuñez,Olmo,Mujer,53
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597035-MÚSICA,1,Marta,Linares,Castillo,Mujer,53
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597036-PEDAGOGÍA TERAPÉUTICA,1,Félix,Sierra,Durán,Hombre,63
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597037-AUDICIÓN Y LENGUAJE,1,Mario,Amador,González,Hombre,47
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597038-EDUCACIÓN PRIMARIA,1,Joaquín,Aguado,Pérez,Hombre,57
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597038-EDUCACIÓN PRIMARIA,1,Samuel,Muñoz,Aguilar,Hombre,31
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597038-EDUCACIÓN PRIMARIA,1,Estela,Tejada,Cuenca,Mujer,39
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597038-EDUCACIÓN PRIMARIA,1,Pilar,Silva,Sillero,Hombre,54
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597038-EDUCACIÓN PRIMARIA,1,Marcos,Barbero,Sánchez,Hombre,51
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597031-EDUCACIÓN INFANTIL,1,Javier,Izquierdo,Nuñez,Hombre,58
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597031-EDUCACIÓN INFANTIL,1,Bruno,Caballero,Segura,Hombre,44
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597031-EDUCACIÓN INFANTIL,1,Mateo,Díaz,Solís,Hombre,30
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597031-EDUCACIÓN INFANTIL,1,Luis,Barrios,Reyes,Hombre,43
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597031-EDUCACIÓN INFANTIL,1,Fernando,Aguilar,Luque,Hombre,62
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597031-EDUCACIÓN INFANTIL,1,Ainhoa,Saavedra,Valle,Mujer,54
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597031-EDUCACIÓN INFANTIL,1,Alba,Mesa,Castaño,Mujer,36
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597032-LENGUA EXTRANJERA-INGLÉS,1,Beatriz,Vega,Serrano,Mujer,42
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597032-LENGUA EXTRANJERA-INGLÉS,1,Marta,Mesa,Barroso,Mujer,38
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597032-LENGUA EXTRANJERA-INGLÉS,1,Nuria,Muñoz,Roca,Mujer,53
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597033-LENGUA EXTRANJERA-FRANCÉS,1,Iván,Aguado,Mora,Hombre,43
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597036-PEDAGOGÍA TERAPÉUTICA,1,Yolanda,Rosales,Ochoa,Mujer,54
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597036-PEDAGOGÍA TERAPÉUTICA,1,Carolina,Peralta,Mendoza,Mujer,38
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597036-PEDAGOGÍA TERAPÉUTICA,1,Mónica,Mateo,Olmo,Mujer,61
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597036-PEDAGOGÍA TERAPÉUTICA,1,Alberto,Ortiz,Valero,Hombre,53
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597037-AUDICIÓN Y LENGUAJE,1,Álvaro,Bernal,Gutiérrez,Hombre,57
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597038-EDUCACIÓN PRIMARIA,1,Gabriel,Cordero,León,Hombre,28
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597038-EDUCACIÓN PRIMARIA,1,Óscar,Gil,Sanz,Hombre,28
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597038-EDUCACIÓN PRIMARIA,1,Mónica,Rojo,Paredes,Mujer,63
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597038-EDUCACIÓN PRIMARIA,1,Lorena,Morales,Barbero,Mujer,43
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597038-EDUCACIÓN PRIMARIA,1,Rosa,Mendoza,Cortés,Mujer,49
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,11597034-EDUC. FISICA (PRIMARIA)- BILINGÜE INGLÉS,1,Gabriel,Peña,Flores,Hombre,27
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,11597034-EDUC. FISICA (PRIMARIA)- BILINGÜE INGLÉS,1,Marcos,Marín,Prado,Hombre,59
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,11597035-MÚSICA (PRIMARIA) - BILINGÜE INGLÉS,1,Laura,Ortega,Jiménez,Mujer,35
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,11597038-EDUCACIÓN PRIMARIA - BILINGÜE INGLÉS,1,Natalia,Soto,Carmona,Mujer,32
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,11597038-EDUCACIÓN PRIMARIA - BILINGÜE INGLÉS,1,Carmen,Estévez,Medina,Mujer,60
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,11597038-EDUCACIÓN PRIMARIA - BILINGÜE INGLÉS,1,Sara,Amador,Jurado,Mujer,60
MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,11597038-EDUCACIÓN PRIMARIA - BILINGÜE INGLÉS,1,Estela,Arias,Castillo,Mujer,26
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597031-EDUCACIÓN INFANTIL,1,Andrés,Durán,Escobar,Hombre,44
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597031-EDUCACIÓN INFANTIL,1,Elena,Martínez,Herrera,Mujer,51
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597031-EDUCACIÓN INFANTIL,1,Luis,Mesa,Saura,Hombre,59
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597031-EDUCACIÓN INFANTIL,1,Félix,Toledo,Romero,Hombre,62
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597031-EDUCACIÓN INFANTIL,1,Hugo,Salas,Real,Hombre,53
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597031-EDUCACIÓN INFANTIL,1,Rodrigo,Morales,Jimeno,Hombre,33
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597031-EDUCACIÓN INFANTIL,1,Nerea,Valverde,Parra,Mujer,35
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597031-EDUCACIÓN INFANTIL,1,Marta,Arellano,Gallego,Mujer,33
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597031-EDUCACIÓN INFANTIL,1,Ramón,Ponce,Herrera,Hombre,32
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597031-EDUCACIÓN INFANTIL,1,Javier,Villar,Pérez,Hombre,31
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597032-LENGUA EXTRANJERA-INGLÉS,1,Ainhoa,Lara,Iglesias,Mujer,43
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597032-LENGUA EXTRANJERA-INGLÉS,1,Miriam,Corral,Arellano,Hombre,47
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597032-LENGUA EXTRANJERA-INGLÉS,1,Luis,Ojeda,Lara,Hombre,58
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597033-LENGUA EXTRANJERA-FRANCÉS,1,David,Iglesias,Jara,Hombre,59
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597034-EDUCACIÓN FÍSICA,1,Jonás,Linares,Del Río,Hombre,41
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597034-EDUCACIÓN FÍSICA,1,Carlos,Diez,Vicente,Hombre,37
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597034-EDUCACIÓN FÍSICA,1,Ángela,Bernal,Navarrete,Mujer,28
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597035-MÚSICA,1,Mónica,Medina,Bravo,Mujer,43
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597036-PEDAGOGÍA TERAPÉUTICA,1,María,González,Gil,Mujer,52
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597036-PEDAGOGÍA TERAPÉUTICA,1,Verónica,Gallego,Roldán,Mujer,45
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597037-AUDICIÓN Y LENGUAJE,1,Daniel,Ortiz,Bravo,Hombre,44
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597038-EDUCACIÓN PRIMARIA,1,Regina,Castillo,Jara,Mujer,33
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597038-EDUCACIÓN PRIMARIA,1,Andrea,Palacios,Santamaría,Mujer,45
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597038-EDUCACIÓN PRIMARIA,1,Laura,Barbero,Villalba,Mujer,33
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597038-EDUCACIÓN PRIMARIA,1,Lola,Roldán,Villar,Mujer,34
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597038-EDUCACIÓN PRIMARIA,1,Estela,Pérez,Paredes,Mujer,46
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597038-EDUCACIÓN PRIMARIA,1,Celia,Estévez,Roca,Mujer,46
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597038-EDUCACIÓN PRIMARIA,1,Sara,Rojo,Velasco,Mujer,53
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597038-EDUCACIÓN PRIMARIA,1,Joaquim,Morales,Estévez,Hombre,62
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597038-EDUCACIÓN PRIMARIA,1,Sara,Parra,Torrens,Mujer,26
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597038-EDUCACIÓN PRIMARIA,1,Nerea,Gutiérrez,González,Mujer,32
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597038-EDUCACIÓN PRIMARIA,1,Sergio,Parra,Tapia,Hombre,61
MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597038-EDUCACIÓN PRIMARIA,1,Claudia,Téllez,Pérez,Mujer,62
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590001-FILOSOFIA P.E.S.,1,Francisco,Alarcón,Olmo,Hombre,46
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590001-FILOSOFIA P.E.S.,1,Cristian,Salazar,Peñalver,Hombre,60
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590004-LENGUA CASTELLANA Y LITERATURA P.E.S.,1,Francisco,Cordero,Torres,Hombre,34
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590004-LENGUA CASTELLANA Y LITERATURA P.E.S.,1,Nuria,Pascual,Tejada,Mujer,46
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590004-LENGUA CASTELLANA Y LITERATURA P.E.S.,1,José,Pascual,Mateos,Hombre,62
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590004-LENGUA CASTELLANA Y LITERATURA P.E.S.,1,Daniel,Rodríguez,Aguado,Hombre,34
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590004-LENGUA CASTELLANA Y LITERATURA P.E.S.,1,Sofía,Cano,Jimeno,Mujer,49
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590004-LENGUA CASTELLANA Y LITERATURA P.E.S.,1,Guillermo,Montoya,Jiménez,Hombre,46
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590004-LENGUA CASTELLANA Y LITERATURA P.E.S.,1,Andrea,Diez,Martín,Mujer,61
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590004-LENGUA CASTELLANA Y LITERATURA P.E.S.,1,Paula,Montoya,Villalba,Mujer,40
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590004-LENGUA CASTELLANA Y LITERATURA P.E.S.,1,Pilar,Morales,Parra,Hombre,33
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590005-GEOGRAFIA E HISTORIA P.E.S.,1,Alberto,Aguirre,Mateos,Hombre,31
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590005-GEOGRAFIA E HISTORIA P.E.S.,1,Lidia,Aguilar,Carrillo,Mujer,58
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590005-GEOGRAFIA E HISTORIA P.E.S.,1,Ramón,Romero,Olmo,Hombre,59
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590005-GEOGRAFIA E HISTORIA P.E.S.,1,Jonás,Paredes,Pascual,Hombre,32
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590006-MATEMATICAS P.E.S.,1,Verónica,Castaño,Santiago,Mujer,59
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590006-MATEMATICAS P.E.S.,1,Andrea,Roman,Llamas,Mujer,57
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590006-MATEMATICAS P.E.S.,1,Miriam,Ferrero,Rubio,Hombre,48
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590006-MATEMATICAS P.E.S.,1,Olivia,Cordero,Herrero,Mujer,37
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590006-MATEMATICAS P.E.S.,1,Regina,Romero,Aranda,Mujer,25
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590007-FISICA Y QUIMICA P.E.S.,1,Luis,Lemus,Herrera,Hombre,37
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590007-FISICA Y QUIMICA P.E.S.,1,Lola,Alonso,Jurado,Mujer,37
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590008-BIOLOGIA Y GEOLOGIA P.E.S.,1,Julia,Real,Rodríguez,Mujer,36
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590008-BIOLOGIA Y GEOLOGIA P.E.S.,1,Mateo,Cebrián,Aguirre,Hombre,52
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590008-BIOLOGIA Y GEOLOGIA P.E.S.,1,Isabel,Romero,Escobar,Mujer,49
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590008-BIOLOGIA Y GEOLOGIA P.E.S.,1,José,Bernal,Salgado,Hombre,35
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590009-DIBUJO P.E.S.,1,Jonás,Valle,Segovia,Hombre,36
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590010-FRANCES P.E.S.,1,Luis,Paredes,Arroyo,Hombre,47
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590010-FRANCES P.E.S.,1,Nicolás,Villar,Sillero,Hombre,29
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590011-INGLES P.E.S.,1,Joaquim,Cuevas,Suárez,Hombre,41
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590011-INGLES P.E.S.,1,Cristian,Jimeno,Cortés,Hombre,34
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590011-INGLES P.E.S.,1,Andrea,Benítez,Serrano,Mujer,52
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590011-INGLES P.E.S.,1,Sara,Sánchez,Salgado,Mujer,61
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590011-INGLES P.E.S.,1,Lola,Merino,Zamora,Mujer,37
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590011-INGLES P.E.S.,1,Juan,Baena,Soto,Hombre,52
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590011-INGLES P.E.S.,1,Carmen,Sáez,Salinas,Mujer,61
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590011-INGLES P.E.S.,1,Marta,Barbero,Ortega,Mujer,47
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590017-EDUCACION FISICA P.E.S.,1,Gabriel,Ortiz,Gómez,Hombre,40
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590017-EDUCACION FISICA P.E.S.,1,Ángela,Barroso,Alonso,Mujer,35
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590017-EDUCACION FISICA P.E.S.,1,Marcos,Castaño,García,Hombre,35
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590017-EDUCACION FISICA P.E.S.,1,Sandra,Barbero,Mateos,Mujer,32
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590018-ORIENTACIÓN EDUCATIVA P.E.S.,1,Rodrigo,Aguilar,Bernal,Hombre,40
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590019-TECNOLOGIA P.E.S.,1,Juan,Rosales,Ponce,Hombre,36
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590019-TECNOLOGIA P.E.S.,1,Mario,Rosales,Guerrero,Hombre,46
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590019-TECNOLOGIA P.E.S.,1,Nicolás,Ochoa,Roldán,Hombre,62
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590019-TECNOLOGIA P.E.S.,1,Lidia,Barrios,Guzmán,Mujer,50
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590061-ECONOMIA P.E.S.,1,Sonia,Estévez,Barrios,Mujer,65
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590061-ECONOMIA P.E.S.,1,Yolanda,Villalba,Santiago,Mujer,45
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590101-ADMINISTRACION DE EMPRESAS P.E.S.,1,Diego,Pascual,Molina,Hombre,57
PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590101-ADMINISTRACION DE EMPRESAS P.E.S.,1,Ana,Crespo,Gallego,Mujer,55
